operand_precision,seeds,finite_rate,useful_rate,cosine_mean,norm_ratio_mean,bp_relative_error_mean,fp32_operand_error_mean,operand_saturation_rate_mean,max_abs_operand
fp32,20,1.0,0.8,0.9360188245773315,1.0656254914425252,0.45661656409502027,0.0,0.0,10.237923622131348
fp16,20,1.0,0.8,0.9384810447692871,1.059276507253291,0.448605664819479,0.06484187189489599,0.0,10.237980842590332
bf16,20,1.0,0.8,0.9362257480621338,1.059946123872096,0.45107603818178177,0.06549356053583319,0.0,10.23340892791748
fixed16_i3,20,1.0,0.8,0.9362152546644211,1.0672212620325083,0.45330423563718797,0.05729487054049963,8.019550205300484e-07,10.125250816345217
fixed12_i3,20,1.0,0.8,0.9362152338027954,1.0710225497929708,0.45633687302470205,0.06397109031677242,8.019550205300484e-07,10.12419319152832
fixed12_i2,20,1.0,0.8,0.9367925196886062,1.048672504026519,0.4355769634246826,0.0830146992579102,0.001083587042739815,8.929962158203125
