config,seeds,finite_rate,useful_rate,cosine_mean,norm_ratio_mean,bp_relative_error_mean,tuned_gradient_error_mean,tuned_gradient_error_max
dyadic_8bit,20,1.0,0.85,0.9559942156076431,1.0221607511039394,0.34395370483398435,0.04148717867210503,0.0638156235218048
tuned,20,1.0,0.9,0.9575527817010879,1.0734963274660647,0.35616512149572366,0.0,0.0
