accumulator_precision,seeds,finite_rate,useful_rate,cosine_mean,norm_ratio_mean,bp_relative_error_mean,fp32_accumulator_error_mean,operand_saturation_rate_mean,accumulator_saturation_rate_mean,max_abs_operand,max_abs_accumulator
fp32,20,1.0,0.9,0.9304578006267548,1.0204890900021015,0.3817892879247665,0.0,0.0,0.0,7.364721775054932,23.66293334960937
fixed24_i6,20,1.0,0.9,0.9304578006267548,1.0204890900021015,0.3817892879247665,0.0,0.0,0.0,7.364721775054932,23.66293334960937
fixed20_i6,20,1.0,0.85,0.929743081331253,1.0254133314588996,0.3862339034676552,0.0560048495419323,0.0,0.0,7.3671875,23.662872314453125
fixed16_i6,20,1.0,0.9,0.9292868375778198,1.0268733954716205,0.3874845489859581,0.054736023955047085,0.0,0.0,7.36328125,23.650787353515625
fixed12_i6,20,1.0,0.8,0.9021468982100487,0.998972994930474,0.4202114328742027,0.11669497042894357,0.0,0.0,7.400022506713867,23.724151611328125
fixed12_i5,20,1.0,0.9,0.931368088722229,1.0162509953412817,0.3769829899072647,0.0625309862196445,0.0,0.0,7.371396064758301,23.69842529296875
