update_precision,seeds,finite_rate,useful_rate,cosine,norm_ratio,relative_error,gradient_error_to_fp32,residual,max_abs_update_grad,max_abs_update_residual,max_abs_state,max_abs_dual,update_grad_saturation_rate,update_residual_saturation_rate,state_saturation_rate,dual_saturation_rate
fp32,20,1.0,1.0,0.9451012879610061,1.0121465887279415,0.37573903799057007,0.0,0.7674983379431068,0.2684186697006225,0.2942495942115783,5.318997383117676,1.6380157470703125,0.0,0.0,0.0,0.0
fp16,20,1.0,1.0,0.9453617542982101,1.0055136914937113,0.37140185385942454,0.03532527089118953,0.7746604226063937,0.2684186697006225,0.2903433442115783,5.318996429443359,1.645496129989624,0.0,0.0,0.0,0.0
bf16,20,1.0,1.0,0.9445593267679214,1.0136213839835286,0.3783860579133033,0.03664586944505567,0.773106625629589,0.2684186697006225,0.2942495942115783,5.319000244140625,1.6428498029708862,0.0,0.0,0.0,0.0
fixed16_i2,20,1.0,1.0,0.9450086742639542,1.0112950930211344,0.37736606448888776,0.03676170166581865,0.7679790157359093,0.2684186697006225,0.2903433442115783,5.3179931640625,1.649363398551941,0.0,0.0,0.0,0.0
fixed12_i2,20,1.0,1.0,0.9434925347566605,1.0070219364652102,0.3792537346482277,0.056782346777617884,0.8440170716494322,0.2684186697006225,0.2940264940261841,5.31640625,1.6490527391433716,0.0,0.0,0.0,0.0
fixed12_i3,20,1.0,1.0,0.9437379449605942,1.0114868592684563,0.37994312196969987,0.0542223309166729,0.7716383917722851,0.2684186697006225,0.2942495942115783,5.31640625,1.6487988233566284,0.0,0.0,0.0,0.0
